,,,,,,,,,,,,
,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
CASA,12.1,12.8,14.9,16.5,19.2,21.8,23.3,24,22.3,20.2,15.8,13.4
Rabat,12.2,12.8,14.9,16.4,19.1,21.9,23.5,24.2,22.6,20.3,16,13.5
Oujda,8.4,9.4,12.2,14.6,18,22.5,26,26.1,21.9,18.4,12.3,9.4
Marrakech,9.7,11.3,14.6,17.1,20.4,24.4,27.5,27.6,23.6,20.1,14.2,11
LAAYOUNE,16.1,16.6,18.3,19.0,20.2,21.6,23.0,24.1,23.4,22.3,19.5,17.4
Ifrane,3.5,4.5,7.4,10,13.6,18.3,22.2,22,17.5,13.5,7.6,5.1
Kelaat Magouna,6.0,7.5,11.4,15.5,19.4,24.2,27.4,26.1,21.5,16.3,10.2,6.8
Errachidia,8.3,10.4,14.7,19.0,23.0,28.0,31.7,30.6,25.6,20.1,13.1,9.2
Agadir,13.7,14.7,17.0,18.4,20.6,23.0,26.1,26.4,23.4,21.5,17.5,14.9
Essaouira,14.2,14.7,16.4,17.3,19.0,21.0,22.8,23.4,21.9,20.5,17.3,15.5
Tanger,11.8,12.1,13.7,15.4,18.1,21.5,23.7,24.3,22.1,19.2,15.0,12.9
Safi,13.2,13.8,15.7,17.0,19.1,21.4,23.0,23.6,22.2,20.5,16.7,14.5
Beni mellal,7.8,9.3,12.5,15.4,19.2,24.1,27.8,27.8,23.2,18.8,12.4,9.2
El jadida,13.6,14.0,15.6,16.8,19.0,21.3,22.7,23.5,22.5,20.7,17.1,14.9
Al Hoceima,12.3,12.6,14.1,15.6,18.1,21.3,23.9,24.4,21.9,19.3,15.5,13.3
